route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,bikes_allowed
"6-115-P-j19-1","T0","268.T0.6-115-P-j19-1.13.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","270.T0.6-115-P-j19-1.13.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","272.T0.6-115-P-j19-1.13.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","274.T0.6-115-P-j19-1.13.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","275.T0.6-115-P-j19-1.13.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","276.T0.6-115-P-j19-1.13.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","198.T0.6-115-P-j19-1.6.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","186.T0.6-115-P-j19-1.6.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","203.T0.6-115-P-j19-1.6.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","204.T0.6-115-P-j19-1.6.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","205.T0.6-115-P-j19-1.6.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","206.T0.6-115-P-j19-1.6.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","207.T0.6-115-P-j19-1.6.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","214.T0.6-115-P-j19-1.6.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","218.T0.6-115-P-j19-1.6.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","219.T0.6-115-P-j19-1.16.R","115 Reichenbach","","1","","2"
"6-115-P-j19-1","T0","197.T0.6-115-P-j19-1.33.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","220.T0.6-115-P-j19-1.35.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","221.T0.6-115-P-j19-1.35.R","115 Busenbach Bf ü. Reichenbach","","1","","2"
"6-115-P-j19-1","T0","7.T0.6-115-P-j19-1.3.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","3.T0.6-115-P-j19-1.3.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
"6-115-P-j19-1","T0","8.T0.6-115-P-j19-1.8.H","115 Etzenrot Bf ü. Esternaystr.","","0","","2"
